,exper,wage
2119,7,500
2120,4,589
2121,9,625
2122,9,390
2123,11,443
2124,7,707
2125,5,778
2126,10,510
2127,2,442
2128,7,400
2129,4,1275
2130,8,405
2131,10,673
2132,11,280
2133,8,350
2134,6,2003
2135,4,769
2136,7,866
2137,11,880
2138,8,550
2139,8,610
2140,6,577
2141,7,148
2142,7,824
2143,6,700
2144,3,750
2145,11,700
2146,8,692
2147,10,308
2148,8,865
2149,4,693
2150,7,800
2151,12,673
2152,5,515
2153,9,712
2154,6,845
2155,5,885
2156,7,693
2157,16,851
2158,11,738
2159,5,481
2160,8,795
2161,13,579
2162,16,869
2163,5,577
2164,10,1385
2165,11,1603
2166,12,675
2167,8,462
2168,11,663
2169,6,845
2170,15,657
2171,6,1200
2172,14,770
2173,9,250
2174,6,343
2175,16,2115
2176,3,1029
2177,7,713
2178,12,595
2179,11,833
2180,7,400
2181,11,721
2182,13,167
2183,7,467
2184,3,643
2185,15,600
2186,6,400
2187,5,1000
2188,8,666
2189,2,553
2190,8,785
2191,7,667
2192,9,300
2193,8,697
2194,13,438
2195,6,685
2196,6,414
2197,7,751
2198,7,231
2199,7,505
2200,8,600
2201,9,1309
2202,8,1058
2203,11,627
2204,11,1050
2205,8,983
2206,10,1282
2207,8,818
2208,1,500
2209,14,720
2210,11,538
2211,11,938
2212,8,300
2213,15,781
2214,20,650
2215,5,996
2216,5,582
2217,4,231
2218,3,539
2219,13,628
2220,10,674
2221,5,231
2222,5,716
2223,5,286
2224,5,500
2225,5,312
2226,8,200
2227,11,1106
2228,11,583
2229,8,404
2230,6,618
2231,5,277
2232,2,962
2233,9,692
2234,10,563
2235,19,1336
2236,11,673
2237,10,856
2238,10,260
2239,7,575
2240,5,626
2241,14,1443
2242,8,336
2243,9,577
2244,5,480
2245,7,250
2246,7,479
2247,13,1038
2248,9,1090
2249,2,462
2250,14,625
2251,3,817
2252,8,361
2253,9,320
2254,10,347
2255,12,861
2256,10,282
2257,6,699
2258,6,615
2259,8,433
2260,3,534
2261,4,625
2262,2,577
2263,6,843
2264,4,404
2265,11,553
2266,7,1014
2267,7,325
2268,9,771
2269,4,700
2270,1,548
2271,4,625
2272,6,911
2273,15,745
2274,6,674
2275,6,817
2276,4,770
2277,6,727
2278,6,666
2279,7,688
2280,6,560
2281,6,500
2282,8,670
2283,16,962
2284,6,726
2285,11,962
2286,10,615
2287,13,1154
2288,10,675
2289,8,422
2290,7,1063
2291,9,1175
2292,6,852
2293,6,610
2294,9,423
2295,11,1200
2296,14,1029
2297,8,550
2298,10,801
2299,13,543
2300,16,350
2301,12,750
2302,14,450
2303,4,600
2304,15,855
2305,6,728
2306,16,693
2307,11,1025
2308,8,1154
2309,10,983
2310,13,727
2311,14,535
2312,7,532
2313,7,289
2314,3,313
2315,5,404
2316,6,1100
2317,9,660
2318,14,433
2319,4,400
2320,5,263
2321,15,400
2322,12,577
2323,6,433
2324,2,470
2325,2,255
2326,8,625
2327,15,670
2328,12,1049
2329,11,1846
2330,12,769
2331,17,688
2332,3,650
2333,4,479
2334,2,341
2335,12,906
2336,15,351
2337,11,775
2338,8,700
2339,4,592
2340,6,740
2341,9,533
2342,3,417
2343,10,1394
2344,16,548
2345,7,657
2346,7,572
2347,10,624
2348,9,442
2349,6,577
2350,8,540
2351,9,841
2352,9,724
2353,7,557
2354,5,334
2355,3,510
2356,13,577
2357,11,511
2358,4,311
2359,16,577
2360,16,670
2361,9,631
2362,3,666
2363,7,400
2364,7,220
2365,11,577
2366,10,423
2367,5,647
2368,7,345
2369,3,840
2370,4,625
2371,15,1000
2372,9,919
2373,13,730
2374,6,448
2375,9,483
2376,7,411
2377,10,885
2378,7,350
2379,4,500
2380,12,733
2381,11,459
2382,6,721
2383,11,699
2384,10,785
2385,7,925
2386,6,449
2387,3,325
2388,13,683
2389,10,522
2390,4,470
2391,16,541
2392,9,852
2393,12,400
2394,3,547
2395,10,577
2396,7,300
2397,10,1068
2398,14,721
2399,8,673
2400,4,739
2401,8,1478
2402,4,875
2403,15,900
2404,12,801
2405,7,550
2406,18,575
2407,9,540
2408,10,790
2409,8,693
2410,4,250
2411,1,417
2412,17,635
2413,14,413
2414,7,300
2415,3,567
2416,10,641
2417,10,356
2418,15,400
2419,13,413
2420,13,531
2421,7,635
2422,7,144
2423,11,550
2424,14,486
2425,8,598
2426,6,462
2427,4,812
2428,7,625
2429,13,1043
2430,5,800
2431,5,812
2432,3,433
2433,5,751
2434,6,294
2435,7,427
2436,15,700
2437,3,284
2438,7,542
2439,7,480
2440,4,378
2441,8,508
2442,7,500
2443,15,723
2444,7,220
2445,3,475
2446,7,1202
2447,5,400
2448,7,601
2449,11,481
2450,11,700
2451,9,769
2452,5,529
2453,8,450
2454,18,563
2455,13,649
2456,18,470
2457,2,275
2458,11,719
2459,15,1082
2460,12,673
2461,0,350
2462,8,769
2463,8,650
2464,15,751
2465,11,356
2466,9,250
2467,10,401
2468,8,425
2469,10,287
2470,7,309
2471,4,578
2472,8,438
2473,13,450
2474,5,173
2475,5,529
2476,12,482
2477,9,833
2478,16,260
2479,7,279
2480,6,350
2481,7,145
2482,11,230
2483,3,450
2484,3,385
2485,11,817
2486,8,962
2487,9,408
2488,3,526
2489,5,578
2490,8,620
2491,7,230
2492,13,580
2493,8,1155
2494,10,380
2495,5,616
2496,10,450
2497,7,425
2498,10,500
2499,7,713
2500,7,750
2501,3,323
2502,9,1038
2503,3,491
2504,10,525
2505,12,388
2506,10,460
2507,3,400
2508,6,737
2509,6,599
2510,9,1131
2511,5,601
2512,10,298
2513,9,235
2514,6,220
2515,12,697
2516,9,542
2517,7,250
2518,4,400
2519,10,423
2520,7,290
2521,17,247
2522,7,380
2523,6,656
2524,14,711
2525,9,481
2526,3,641
2527,14,596
2528,18,578
2529,8,678
2530,10,1538
2531,15,860
2532,8,534
2533,9,308
2534,9,600
2535,17,625
2536,10,540
2537,8,344
2538,7,500
2539,9,320
2540,3,378
2541,4,188
2542,18,168
2543,17,250
2544,15,190
2545,10,1000
2546,6,564
2547,9,624
2548,6,714
2549,6,538
2550,7,355
2551,6,240
2552,6,418
2553,8,1026
2554,9,295
2555,8,550
2556,9,538
2557,19,350
2558,9,711
2559,11,229
2560,9,220
2561,11,310
2562,6,320
2563,9,303
2564,7,450
2565,11,753
2566,8,438
2567,11,325
2568,10,846
2569,6,313
2570,15,479
2571,13,429
2572,9,490
2573,6,361
2574,13,400
2575,6,423
2576,9,311
2577,10,271
2578,2,385
2579,2,529
2580,14,700
2581,16,381
2582,10,465
2583,18,400
2584,17,455
2585,6,260
2586,9,705
2587,11,417
2588,10,250
2589,6,460
2590,12,325
2591,10,275
2592,8,325
2593,4,300
2594,17,250
2595,10,288
2596,9,550
2597,15,429
2598,16,375
2599,15,577
2600,6,531
2601,6,250
2602,9,440
2603,8,457
2604,9,438
2605,9,550
2606,3,650
2607,9,423
2608,8,420
2609,5,200
2610,12,400
2611,9,300
2612,12,714
2613,7,398
2614,14,398
2615,6,734
2616,7,688
2617,16,212
2618,13,455
2619,3,350
2620,6,577
2621,9,699
2622,5,375
2623,5,375
2624,15,364
2625,11,220
2626,9,621
2627,14,375
2628,4,341
2629,2,380
2630,15,260
2631,16,489
2632,9,433
2633,10,365
2634,13,257
2635,6,513
2636,10,288
2637,6,866
2638,7,433
2639,22,500
2640,2,548
2641,11,400
2642,15,433
2643,5,375
2644,14,547
2645,6,375
2646,5,500
2647,2,355
2648,11,600
2649,16,650
2650,14,848
2651,9,325
2652,15,289
2653,4,457
2654,9,711
2655,15,413
2656,3,649
2657,7,633
2658,6,721
2659,14,913
2660,7,375
2661,3,592
2662,10,764
2663,8,500
2664,8,275
2665,8,260
2666,6,962
2667,10,625
2668,8,333
2669,11,625
2670,8,250
2671,16,359
2672,16,550
2673,6,403
2674,9,463
2675,6,396
2676,6,278
2677,7,400
2678,2,415
2679,15,462
2680,9,1442
2681,17,125
2682,18,200
2683,15,300
2684,16,521
2685,6,266
2686,9,325
2687,15,350
2688,19,340
2689,6,625
2690,13,214
2691,10,688
2692,18,275
2693,16,457
2694,8,615
2695,3,732
2696,8,163
2697,10,260
2698,10,492
2699,8,575
2700,7,510
2701,12,565
2702,14,515
2703,11,471
2704,8,335
2705,10,481
2706,8,642
2707,9,573
2708,20,315
2709,13,360
2710,7,339
2711,7,400
2712,3,300
2713,18,580
2714,4,321
2715,8,475
2716,12,445
2717,13,300
2718,11,252
2719,7,419
2720,22,317
2721,7,553
2722,7,721
2723,6,729
2724,7,314
2725,12,220
2726,11,235
2727,12,333
2728,9,333
2729,13,333
2730,10,380
2731,8,390
2732,23,250
2733,4,673
2734,4,483
2735,3,769
2736,15,325
2737,13,465
2738,4,350
2739,8,375
2740,16,300
2741,3,475
2742,9,528
2743,10,513
2744,9,445
2745,12,265
2746,9,260
2747,9,318
2748,8,626
2749,8,400
2750,4,378
2751,7,803
2752,3,447
2753,7,319
2754,16,401
2755,12,438
2756,8,417
2757,9,375
2758,8,616
2759,10,354
2760,4,425
2761,8,265
2762,4,426
2763,7,250
2764,2,560
2765,11,289
2766,4,393
2767,8,577
2768,9,346
2769,6,1282
2770,5,865
2771,4,413
2772,17,225
2773,7,404
2774,13,721
2775,12,577
2776,8,500
2777,11,250
2778,8,155
2779,9,406
2780,15,350
2781,8,462
2782,18,500
2783,8,846
2784,11,577
2785,6,400
2786,17,741
2787,5,350
2788,8,438
2789,6,727
2790,8,970
2791,8,751
2792,6,577
2793,8,404
2794,12,616
2795,3,230
2796,6,142
2797,6,385
2798,9,385
2799,6,422
2800,9,650
2801,16,230
2802,9,672
2803,3,354
2804,7,250
2805,14,300
2806,6,400
2807,21,300
2808,8,460
2809,9,432
2810,9,250
2811,17,315
2812,10,625
2813,10,500
2814,9,331
2815,10,585
2816,9,320
2817,11,300
2818,10,738
2819,12,385
2820,7,641
2821,21,325
2822,6,406
2823,20,300
2824,16,176
2825,10,450
2826,8,292
2827,9,801
2828,12,375
2829,8,230
2830,14,535
2831,18,422
2832,11,361
2833,12,300
2834,10,558
2835,6,470
2836,16,486
2837,8,600
2838,17,363
2839,8,200
2840,16,142
2841,15,448
2842,12,300
2843,13,706
2844,8,534
2845,10,260
2846,8,675
2847,18,260
2848,18,300
2849,5,1215
2850,5,577
2851,7,250
2852,14,394
2853,10,275
2854,17,225
2855,12,275
2856,15,356
2857,7,885
2858,2,192
2859,16,420
2860,20,375
2861,18,364
2862,8,400
2863,8,353
2864,10,300
2865,4,416
2866,9,600
2867,10,973
2868,18,230
2869,9,311
2870,17,274
2871,10,400
2872,12,200
2873,7,435
2874,17,230
2875,18,731
2876,17,270
2877,12,176
2878,7,250
2879,14,333
2880,7,438
2881,4,428
2882,7,740
2883,8,700
2884,6,245
2885,8,230
2886,8,273
2887,8,632
2888,3,289
2889,18,300
2890,13,230
2891,16,395
2892,9,572
2893,7,625
2894,3,550
2895,11,250
2896,13,363
2897,14,100
2898,15,350
2899,9,290
2900,22,250
2901,19,833
2902,9,435
2903,9,333
2904,8,306
2905,9,573
2906,7,288
2907,10,463
2908,16,389
2909,10,1106
2910,2,245
2911,7,358
2912,20,357
2913,12,400
2914,9,300
2915,5,553
2916,17,300
2917,17,450
2918,7,409
2919,4,250
2920,2,337
2921,2,280
2922,5,523
2923,4,513
2924,11,691
2925,5,425
2926,5,361
2927,6,542
2928,14,769
2929,7,505
2930,2,591
2931,3,419
2932,4,375
2933,3,369
2934,9,438
2935,6,619
2936,11,635
2937,8,500
2938,14,875
2939,11,635
2940,4,313
2941,3,350
2942,9,857
2943,14,200
2944,6,383
2945,12,245
2946,14,808
2947,9,462
2948,7,577
2949,8,506
2950,5,962
2951,4,743
2952,6,450
2953,10,476
2954,10,123
2955,15,794
2956,9,200
2957,12,462
2958,13,225
2959,9,577
2960,18,180
2961,16,325
2962,15,409
2963,9,200
2964,7,539
2965,6,354
2966,11,250
2967,6,693
2968,10,420
2969,15,366
2970,7,351
2971,9,913
2972,9,900
2973,13,300
2974,11,307
2975,14,475
2976,11,340
2977,14,463
2978,12,200
2979,3,315
2980,8,625
2981,12,254
2982,12,450
2983,6,375
2984,8,300
2985,8,364
2986,3,750
2987,7,589
2988,15,265
2989,10,300
2990,21,390
2991,15,500
2992,11,450
2993,9,263
2994,7,432
2995,14,192
2996,14,829
2997,8,513
2998,11,529
2999,4,385
3000,8,500
3001,8,712
3002,5,472
3003,6,470
3004,6,413
3005,7,335
3006,15,481
3007,6,500
3008,13,713
3009,7,525
